"","score","text","klasifikasi"
"207",0,"usa fatality timeline  st death recorded on  feb   deaths   april after  days   deaths   april   days   deaths   april   days   deaths   april   days   deaths   april   days   deaths   april   days  coronavirususa","Netral"
"208",-4,"oy vey its another shoah its kristallnacht all over again notice how everyones up in arms about jews not being able to pray meanwhile all christian churches are shut down andor ratted on jews christians nyc nycoronavirus coronavirususa","Negatif"
"209",0,"dr andrew kaufman is an american natural healing consultant inventor e witness and forensic psychiatrist who has been powerfully outspoken throughout the pandemic   covid coronavirus coronavirususa londonreal  vaccines","Netral"
"210",0,"great news  remdesevir gilead covid covid coronavirus coronavirususa polqc coronaviruscanada covidqc covidcanada covidusa","Netral"
"211",-3,"i hate to toot my own horn again but toot  i called this back in march when the bs numbers came out  coronavirususa coronavirusflorida covid","Negatif"
"212",-2,"anyone comparing quarantinelife and socialdistancing to   prison  slavery  house arrest  communism   are all the people that haven been through real shit in life these are the people that need a manager for every fuckn little thing coronavirususa","Negatif"
"213",1,"tucker big tech censors dissent over coronavirus lockdowns  via  coronavirususa plandemic censorship constitutionalcrisis","Positif"
"214",-2,"most of the theater chains in usa plan to reopen for dir christophernolan s tenet for july th weekend   mulan is releasing ne weekend of july th   coronavirususa","Negatif"
"215",-1,"cardio in the culdesac its an aerobic workout with stayhome socialdistancing   via  coronavirus coronavirususa","Negatif"
"216",0,"if there is anything ive learned more during this time its what colors of people come out during times of uncertainity  coronavirus coronavirususa  colorado","Netral"
"217",0,"wed  georgia pm report    cumulative cases   deaths  hosp   raw cfr   deathsmil  data from   coronavirus coronavirususa sarscov covid","Netral"
"218",-2,"just saw a uhaul in front of my neighbors home made me wonder how many people are packing up today because they dont have rent protection trumpsucks coronavirususa","Negatif"
"219",6,"coronavirususa i think what happens is its going to go away this is going to go away trump said   so then why are we spending money and time making a vaccine if its just going to go away id love to ask him that question","Positif"
"220",1,"coronavirususa   almost   deaths   and some e are saying it is an underestimate   coronaviruspandemic","Positif"
"221",2,"you doing no better than most other countries you are not special donald covid coronavirususa","Positif"
"222",-2,"isolationbaking sprinkle left over fries with chili powder before reheating in oven coronavirususa msnbc","Negatif"
"223",-1,"thanks  for stepping up and taking care of business with the ppp loan when  wouldnt even get my application started wellsfargofail ppploan ppp coronavirususa quarantinelife covid","Negatif"
"224",-2,"most of the theater chains in usa plan to reopen for dir christophernolan s tenet for july th weekend   mulan is releasing ne weekend of july th   coronavirususa","Negatif"
"225",0,"bye  go to the moon dont come back  america will open when it safe for all its people not just those with  e coronavirususa","Netral"
"226",1,"going on an inhome date this weekend  coronavirususa","Positif"
"227",-2,"most of the theater chains in usa plan to reopen for dir christophernolan s tenet for july th weekend   mulan is releasing ne weekend of july th   coronavirususa","Negatif"
"228",0,"we need  rent cancelled   student debt cancelled  medicareforall   more tests and ppe for frontline staff  ubi  not tomorrow not ne week but now congress needs to go back to work immediately  covid coronavirususa","Netral"
"229",0,"  stop your partisanship americans are suffering and dying  is right to call you out iloveny coronavirususa","Netral"
"230",-1,"brady open for business e coronaviruslockdown coronavirusnewyork coronavirususa","Negatif"
"231",0,"rosedrandrew kaufman interview pm april  i will be watching  stopthecensorship  covid  covidnl  coronavirus  coronadeutschland  coronavirusnl  stayhome  coronavirustruth stopdelockdown stopthelockdown  coviduk  coronavirususa","Netral"
"232",-2,"us  people die from coronavirus in a single day   coronaviruspandemic usa coronavirususa","Negatif"
"233",-1,"asks    bailing out who coronaviruspandemic coronavirususa nytough nystrong florida voteblue","Negatif"
"234",0,"ten a cases before the us supreme court this friday  via  a constitutionalcrisis coronavirususa ussc covid","Netral"
"235",0,"great move by  costco to require all shoppers to wear face masks  coronavirus coronavirususa","Netral"
"236",-1,"one yearold woman shares that she still has a lot to live for just because shes older doesnt mean shes ready to die  covid covidus covidusa coronavirus coronavirususa coronavirusus stayhome togetherapart flattenthecurve","Negatif"
"237",1,"as millennials helping others and caring about the world around us is ingrained in who we are now we just have to do it from a distance  coronavirususa","Positif"
"238",0,"omg the best of america cares about everyone we are all americans we cannot fight covid divided if america hasnt seen andrew cuomo speak daily about coronavirus speaking now on cspan and again daily on cnn they should tune in to see real leadership  covid coronavirususa","Netral"
"239",-2,"white house  conference at  pm et became more important than fed market may move more after that either way shorts are getting squeezed by  announcement about remdesivir covid coronavirususa spy stockmarket es","Negatif"
"240",0,"maryland secured k testkits from southkorea to openup safely testing is essential but the  like all bloated govt bureaucracies is asleep at the wheel maryland testing kits still haven been approved  coronavirususa covid","Netral"
"241",2,"in this coronavirus time is important to work in a private office space work plus on brickell offers you a very comfortable fullyfurnished private office space visit us and take a tour coronavirusupdate coronavirususa privateofficespace miami brickell workplusoffice","Positif"
"242",0,"we got our stimulusdeposit today by irsdirectdeposit   please let us know your payment status   retweet if you did receive your stimuluschecks and  favorite if you did not get yours   irs socialsecurity covid coronavirus coronavirususa coronaviruspandemic","Netral"
"243",4,"i dont know where we going to be  to the near future with the coronavirususa  but seitz is a manager who wont give up look what he achieved with anadarko  gspe","Positif"
"244",1,"mattel amp fisherprice celebrate essential workers during coronavirus pandemic with new thankyouheroes toy collection  playitforward covid nhsheroes heroes followme coronavirususa coronawillendsoon stayhomesavelives stayhome isolationlife selfquarantine careworkers","Positif"
"245",2,"thats fine but when you have the likes of your lieutenant governor promoting euthanasia for old people so the stock market can be strong its a hard pass for me and anyone who has a heart let alone elderly parents coronavirususa","Positif"
"246",1,"anyone who ready to reopen america without a vaccine in place and new cases and deaths still happening everyday  good luck you fcksticks   coronavirususa covid  stayhomestaysafe","Positif"
"247",0,"this mornings workoutfollowing the mantra of  and   stayhome stayathomeandstaysafe stayhealthy staypositive stayfit coronavirususa coronavirusmassachusetts with     on bluetooth","Netral"
"248",0,"rate of coronavirus covid tests coronavirusnl  corona coronavirususa coronavirusupdate coronavirustesting civid","Netral"
"249",-1,"lysol ad in conte with trump recommendation corona stayathomeandstaysafe usa newyork coronavirususa","Negatif"
"250",0,"pokers vs antipokers  building the bridge of reason  rex reviews  via  fair points on both sides va vs antiva coronavirususa covid healthcare personalchoice","Netral"
"251",1,"those who e to reap the blessings of freedom must like men undergo the fatigues of supporting it  thomas paine  wwggwa iamfreedom q qanon greatawakening digitalsoldier qanon darktolight qarmy constitutionovercoronavirus covid coronavirususa","Positif"
"252",2,"ok i have an idea how about we take huge screens to the people protesting and while they protest we set up videos giving them history and facts hopefully not all of them are lost yet and we can plant the seed of knowledge  coronavirus coronavirususa","Positif"
"253",0,"coronavirususa woman who husband died after taking fish tank cleaner is now being investigated for murder","Netral"
"254",3,"presidential in coronavirususa   is smart disciplined unified and loving   that who we are because of our values respect dignity mutuality love for  another and willing to sacrifice  thank you take lesson","Positif"
"255",-1,"scary news happening in new york  coronakuchers covidnl covidbe coronavirusoutbreak  coronavirus covid  coronavirusupdates coronavirususa  coronavirusuk  coronaupdate  coronalockdown  stayathomeandstaysafe  covid  covidusa","Negatif"
"256",-2,"blind leading the blind  nurses nursesareheroes essentialworkers covid covid e coronavirususa coronavirustruth coronavirus corona covidiots reopenamerica stayathomeandstaysafe stayhomesavelives stayhome trending trumpisnotadoctor","Negatif"
"257",-2,"so true yet theyll find a reason not to do rnlife firstresponders healthcareheroes coronavirususa ","Negatif"
"258",-3,"but scream democrats trump is racist and  for chinese coronavirususa travel restrictionsand in same breath scream democrats trump didnt do anything","Negatif"
"259",1,"i hate to break it to trump and the covidiots but an e order doesnt keep workers safe from the virus or make the virus vanish basically a death sentence for meat packing plant workers  id quit  coronavirususa foodshortage","Positif"
"260",0,"i hope people across the usa but especially living in these areas pay close attention to their own personal social distancing measures covid hasn gone anywhere this pandemic certainly isn even close to being over current numbers coronavirus coronavirususa","Netral"
"261",-1,"giveaway winners only  retweet amp follow   amp  youll win surgical masks  ends in  days  pm rd may  wednesdaywisdom wednesdaymorning coronavirus covid coronavirusuk covidsafe covidiots trump corona coronavirususa","Negatif"
"262",0,"stupid customer coming into to my workplace without a mask  get the fuck out you cunt covid coronavirususa","Netral"
"263",0,"the coronavirus and birth rates what e say about a onceinacentury situation via indystar     obgyn covid covidpandemic coronaviruslockdown coronaravirus coronavirususa covidvirus","Netral"
"264",3,"go ahead and continue to gather  all that want to gather in large groups  go ahead  less idiots to deal with  going forward  covid coronavirus coronavirususa","Positif"
"265",0,"state attorney general calls mayors actions unconstitutional  via  plandemic constitutionalcrisis coronavirususa covid usa","Netral"
"266",7,"this is the truth it past time to allow healthy people to resume normal activities amp to reopen the economy it time to make a hard push now for healthy people to return to work amp to get back to normal trumpeconomy coronawillendsoon coronavirususa","Positif"
"267",2,"well ppp for our tiny business is happening thanks to the great assistance provided by our terrific  branch manager wouldn have happened without her help coronavirususa","Positif"
"268",0,"germany cases on the rise after loosening restrictions america will soon follow cuz god forbid we wait another couple of weeks covid coronavirus coronavirususa","Netral"
"269",0," thread     coronavirus  covid  coronavirususa  pandemic","Netral"
"270",1,"ok maybe just one more covidiots coronavirus coronavirususa trumpisanidiot trumpdisinfectant trumpisnotadoctor trump firefauci covid iamfreedom trumppressconference","Positif"
"271",2,"well looks like the  trump welfare check with your name on it is wearing off mr president  maga trump coronavirususa trumpignoredhisownintelligence trumpwelfarecheck trumpstockmarketcrash    but god  chose the foolish things of the world to shame the wise","Positif"
"272",0,"a doctor treating a newyorker committed suicide do you know the fact coronavirususa coronavirus newyork newyorkcoronavirus newyorktimes pandemic covid medical retweeetplease nypd","Netral"
"273",0,"coronavirus coronavirususa unitedstates of america  mayor nycmayor billdeblasio needs to be removed from office","Netral"
"274",1,"black womens health care in the united states has always been subpar she is gone before her time coronavirususa","Positif"
"275",2,"studies on widespread testing find the really low actual corona death rates denmark  scotland  nederland  los angeles   this is getting ridiculous reopen the economy  reopenamerica coronavirususa","Positif"
"276",0,"youtube takes down videos of doctors who question corona lockdown approach in light of very low death rates  in various studies  what gives them the right to shut down our rights to ask questions  bigtechcensorship coronavirus coronavirususa","Netral"
"277",0,"covid if trump won lead the world others must    coronavirus is a global emergency governments must ally against this pandemic  michael r bloomberg opines in a sharp essay     us coronavirususa","Netral"
"278",5,"how to keep makeup and tools clean amid the pandemic   life live beauty health fitness usa jobs free makeup family leadership success science covid model girl coronavirususa home wednesdaywisdom wednesdaythoughts wednesdaymotivation","Positif"
"279",-2," thread   germany braces for worst recession in postwar history    coronavirus  covid  coronavirususa  pandemic","Negatif"
"280",0," thread   tip of the iceberg economy shrinks at  pace but worst is yet to come   coronavirus  covid  coronavirususa  pandemic","Netral"
"281",1,"thank you so much hasidic for spreading death amp disease  jews jewish coronavirususa coronavirusnewyork","Positif"
"282",0,"whine and cheese and the corona virus with sheila wilson and elizabeth dalton nurses coronavirususa trauma abuse","Netral"
"283",-2,"in order to aid humanity in recognising lord rariaz gohar shahi and lord jesus christ god has manifested their images in various places all over the cosmos coronavirususa coronavirus covid oil moon peace","Negatif"
"284",2,"coronavirus usa italy covid coronaviruspandemic togetherathome covid  coronavirususa   love jesus stayhome newyorkers  trump covid corona spanien stayhomestaysafe coronaupdate   best stories","Positif"
"285",2,"this is insane as one union president said we only wish that this administration cared as much about the lives of working people as it does about meat pork and poultry products wednesdaymorning coronavirususa covidiot","Positif"
"286",0,"the number of people around the world confirmed to have the coronavirus has been increasing to more than three million and one third in the us   its too easy to see where the infection began in  covid covid coviditalia coronavirususa coronaviruschina ","Netral"
"287",-2,"o vaccine may be ready by september may be the way out of this  coronavirususa covid  stayhomesavelives","Negatif"
"288",-1,"according to  data  of the coronavirususa hot spots highest cases per resident today are counties in georgia that right ne door to us you weren ready to openup","Negatif"
"289",0,"gilead unfurls positive data on coronavirus drug ahead of researchers    remdesevir gilead covid covid coronavirus coronavirususa polqc coronaviruscanada covidqc covidcanada covidusa","Netral"
"290",2,"testing testing amp more testing for so many reasons  to know e of spread  to quarantine  to understand how it works  for science  this is a good article everyone should read   covid covid  coronavirususa coviddeathcounts","Positif"
"291",0,"highest one day spike as desantis at white house trump kind of record floridacoronovirus coronavirususa florida reports jump in deaths as nation reports more than  million cases of coronavirus","Netral"
"292",0,"trumplegacy coronavirususa  confirmed cases  deaths  and rising","Netral"
"293",4,"christmas is no thanksgiving is no laborday is no you need to let it go you need to let it go need to letitgo coronaviruslockdown coronavirususa coronavirusnyc canceleverything","Positif"
"294",0,"neither rush to reopen nor defeatist idiocy that  may never return to normal reject both us needs allout effort to develop drug treatment and vaccine as speedily and safely as possible there no acceptable alternative failure isn an option coronavirususa pandemic","Netral"
"295",1,"do you agree with president trump on this point re coronavirususa cases  covid covidusa trump","Positif"
"296",3,"all quants had to do is which word ticks the ticker on any given day coronavirususa newyork cuomo bernie oil remdesivir etc from there all you need is wh access and media voila ath","Positif"
"297",5,"it really disgusts me how ppl can only talk about going to the stores to spend money when the covid restrictions lift  overconsumption and unnecessary consumption is a huge problem so don tell me your broke again be a smart consumer coronavirususa","Positif"
"298",-3,"just to be precise the annualized drop in q us gdp was  percent  closer to  than the  reported in the  release  and yes as i just tweeted much worse to come for the ne  quarters  economy ccpvirus wuhanvirus coronavirususa covid thankschina","Negatif"
"299",1,"first known us coronavirus victim suffered burst heart pathologist  covid sarscov coronavirususa cardiovascular pathology","Positif"
"300",0,"need to check your facts   trumpvirus coronavirususa maga maga","Netral"
"301",-2,"us protest ringleaders arrested in nc after clashing with healthcare workers while daily detected cases in nc are still increasing   via  covid covid coronavirususa covid covid","Negatif"
"302",2,"earlier jets from the us navy  and the air force  flew over new york city to pay tribute to health workers fighting the coronavirus pandemic coronavirususa","Positif"
"303",2," i don have a daily alarm set for  daily coronavirususa briefings you do  seriously  huge thank you and big hugs to cuomo and his staff right now","Positif"
"304",1,"this is is the right bill  to help small businessesnot huge corporations covid coronavirususa votebymail usps","Positif"
"305",3,"this rhetorical propaganda is not gonna fly in the face coronavirususa  k ppl are dead just saying it doesn make it so and this isn an ideology problem it a scientific medical issue and only the scientific truth matters and prevails coronavirusliar","Positif"
"306",-1,"i strongly recommend that you follow him for solid information on the virus in a sea of political misinformation covid pandemic lockdown foodsupply coronavirususa","Negatif"
"307",-1,"hasidim should stop placing the race card they were the ones on the streets they obey no one   oh but u did tolerate it no one got arrested coronavirususa shea","Negatif"
"308",-1,"perspectives on the pandemic  professor knut wittkowski update interview  episode     covid  coronavirususa  coronavirus pandemic fear","Negatif"
"309",1,"so is my cat just supposed to use a childsized surgical mask whats gonna happen to her street cred when everyone sees those  characters no absolutely not this is gonna go over about as well as harness training her coronavirususa catsofthequarantine","Positif"
"310",0,"billgates  april  be ready for pandemic       coronavirus covid coronaviruspandemic covid covid vaccination pandemic coronavirususa stayathome nwo health pandemia populationreduction","Netral"
"311",1,"us economy shrank  last quarter as virus struck but dija up gt cause us is has a socialist system for corporations who are e more govt cash    via  covid covid coronavirususa coronavirus covid","Positif"
"312",-2,"  truly alone and thats the most heartbreaking  around  residents died from coronavirus at  veterans home in massachusetts coronavirususa covid","Negatif"
"313",1,"this is what my day is like what is your day like homealonetogether homealone lockeddown alonetogether coronavirususa babyboy babysitter","Positif"
"314",-1,"things to do during the quarantine to beat boredom  quarantine quarantinelife pandemic coronaviruspandemic coronavirususa npr huffpost nbcnews nytimes cbsnews wsj quarantineradio thingstodoinlockdown boredathome boredquarantine","Negatif"
"315",1,"ts of covid impact on healthconsumers telehealth trauma amp trust via   coronavirususa pandemic reshaping our healthcare behaviors due to healthcosts access amp risk mgt w gtvirtual care search for bioethics amp mentalhealth","Positif"
"316",4,"proud usa t shirt love it order now       doctor doctors doctorwho doctorlife housedoctor  doctordoctor doctores doctora doctorstranger hasidic love coronavirususa doctorslife doctorate penceisanidiot e kids covid","Positif"
"317",0,"coronavirususa cases  deaths    vietnam conflict e file record counts by casualty category total    southkorea cases  deaths   canada cases  deaths","Netral"
"318",1,"if  has such a good relationship with the hasidic jews then why aren the hasidic following n obeying socialdistancing coronavirususa no arrests i wonder why","Positif"
"319",-2,"i have not left home since march th going crazy but thats better than dying coronavirususa trumpvirus","Negatif"
"320",2,"trump americafirst thank you donald trump  youre the greatest coronavirususa","Positif"
"321",-1,"this is a picture of the hasidic community at a funeral gathering in williamsburg newyork  shocking    they are not only putting their own lives at risk but also the lives of the medical community and their families wake up people   coronavirususa is deadly","Negatif"
"322",0,"i am watching man vs food and i realized that every day here with no cheering coronavirususa manvsfood","Netral"
"323",0,"funny coronavirus on tik tok  funny covid  compilation  tiktok coronavirus corona funny covid comedy lol lmao coronavirususa itsgettingreal medicalsupplies quarantinecruise sanitizer","Netral"
"324",0,"we are all doomed wuhan china today  april th   coronaviruspandemic coronaviruschina covid covid coronavirususa wuhan","Netral"
"325",1,"there a huge difference between a treatment and a vaccine oh well coronavirususa","Positif"
"326",2,"s gangsters bootlegged alcohol so that america could party every night away s  companies use alcohol to make disinfectants so people can leave their homes without worrying about dying winning coronavirususa","Positif"
"327",1,"now its up to us  help by boycotting meat at least until the pandemic is over whats more important a pork chop or the lives of your neighbors   covid coronavirususa immigrants boycott boycottmeat govegansaveworkers","Positif"
"328",0,"are you trolling  for being a douchebag covid coronavirususa wearamask dontbeanidiotlikemikepence","Netral"
"329",0,"california adopts eviction moratorium due to coronavirususa vogt resnick sherak us member firm takes a look at what the order means","Netral"
"330",-1,"coronavirususa coronavirus covid covid covid covid lockdown quarantine breaking cure   holy crap  sounds like there might be an actual cure crosses fingers","Negatif"
"331",4,"this mas is an idiotand he doesn believe in science but the scariest part is that he is the vp of the usa mikepence pence bade coronavirususa coronaviruspandemic covid","Positif"
"332",-2,"  truly alone and thats the most heartbreaking  around  residents died from coronavirus at  veterans home in massachusetts coronavirususa covid","Negatif"
"333",1,"i just received my ne fire pit starter coronavirususa","Positif"
"334",0,"covid deaths per million  coronavirus statistics popgtm   covidupdates coronavirus coronavirususa belgium italycoronavirus france ukcoronavirus netherlands switzerland sweden covid spaincoronavirus germany corona","Netral"
"335",1,"are you committed to your families health just a few hours left to sign up pm mtn today healthy coronavirususa covid covidoutbreak healthylifestyle wellbeingwednesday wellness","Positif"
"336",4,"can you put a price on human life  well i know my funeral would cost less than hospitalization and treatment for covid   coronavirus coronavirususa","Positif"
"337",0,"get amazing kindle ebook from amazon   parents and children how to raise successful children a kindle ebook by louis de santis author  for details please click    socialdistancing health dad homebound nj literacy games story coronavirususa","Netral"
"338",1,"how will she make it worse today i guessing mandatory meat packing for seniors or children casinos iowa covid coronavirususa coronavirusiowa  worstgovernor","Positif"
"339",5,"pence e mayoclinic photoswhat white privilege really is mike looks you in the eye when he commits negligent homicide tho in charge of coronavirususa he doesnt understand masks protect others and mayo lets him do it knowing any illness can kill the weak","Positif"
"340",0,"absolutely chilling comments from an avowed communist  its incredible that this is happening in the united states of america  coronavirususa deblasioresign","Netral"
"341",0,"we will all be wearing hijab now  coronavirususa covid covid lockdownend pandemic","Netral"
"342",1,"during lockdown how a  year old grandmother used a breakthrough  step formula to pocket commissions from the internet her first week  click here   covidoutbreak  coronavirususa  covid quarantinetime","Positif"
"343",-1,"lies again fakepresident trumpliesamericansdie coronavirusliar coronavirususa dontdrinkbleach","Negatif"
"344",0,"coronavirususa coronavirus covid covid covid covid lockdown quarantine breaking cure   holy crap","Netral"
"345",4,"oh dear oh dear  i suppose all these idiots were being sarcastic about the coronavirus and how it was insignificant and just a bout of flu   coronavirususa coronaviruslockdownuk","Positif"
"346",-1,"all the data on the coronavirus in one video cases deaths per  million inhabitants and tests per  inhabitants   watch the video here   what do you think  covid covidiots coronavirusfrance coronavirususa coronavirusitalia","Negatif"
"347",3,"nuanced thoughts on balancing health and economy during the pandemic now that we know a little more about it coronavirususa endlockdown covid","Positif"
"348",6,"another trump distraction investigate others to take the light off him and his ignoring all the briefings and info he received months before we got hit so hard he was too busy golfing and spending our money flying to rallies coronavirususa","Positif"
"349",1,"politiciansdeliberately upsetting their aviation masters and making orders for actual health and safety dont be kraykray  global to pollutor and too big to fail screaming jet airswines have made themselves politically indispensable aviation coronavirususa","Positif"
"350",2,"that about it well said    coronavirususa covid","Positif"
"351",0,"great time  tv discussing coronavirususa response white house press briefings amp billdeblasio miserable plan to not tell ny his reopenny blueprint until june st","Netral"
"352",-1,"donates jet fuel to  and  for coronavirus relief efforts via   oott oilandgas bp coronavirususa","Negatif"
"353",-1,"half a million to die from mismanagement of  and his handling of coronavirususa","Negatif"
"354",-1,"coronavirususa the outcry to fully open the beaches is so that many can add some color to their skin  not everyone can afford tanning bed like e ppl of color do not need one they need everything else equality  on every level","Negatif"
"355",1,"you ever admit one just one false statement impossible  trumpliesamericansdie trump covid coronavirususa","Positif"
"356",5,"it took me some time to find my words sometimes writers have a hard time e themselves   was kind enough to read it for me   stopthespread amwriting seattle corona coronavirususa","Positif"
"357",-3,"covid  covid  wednesdaymotivation   its not just the flu coronavirususa has already killed more americans in four months than the flu does in a year dont be an idiot like trump  stayhomesavelives","Negatif"
"358",3,"whether it requiring meat packing plants to stay open ordering military jets to fly over cities predictably drawing crowds to acts of omission failing to adequately test supply ppe etc everything trump doing is making the outbreak worse coronavirususa","Positif"
"359",2,"well this is not surprising based on who we are dealing with and i can safely sayits all kinds of fucked up coronavirususa","Positif"
"360",0,"well look at this quarantine coronavirususa ds chinesecoronavirus faucithefraud covid","Netral"
"361",0,"coronavirus  where do we go from here  coronavirususa opinion poll","Netral"
"362",0,"disneyland and other california theme parks can reopen for months under states plan  via  disney     covid coronavirususa coronavirus gavinnewsom california stayhome stayhomesavelives","Netral"
"363",0,"oh and restaurant have circulated air sooo coronavirususa","Netral"
"364",3,"if your source is  fo  slickthen what ya got there is nothing  you still a failure in the coronavirususa  pandemic stop trying to cover up your failure with this pettiness  you dug your own grave  nice","Positif"
"365",0,"most democratsaredestroyingamerica democratshateamerica democratsareadisgrace covid coronavirususa coronavirus","Netral"
"366",2,"pushing kids  along is prudent but problematic  the atlantic  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Positif"
"367",2,"the coronavirususa has taught me that each of us have an important roll to play the question is are you playing your roll we are a team","Positif"
"368",1,"oh yeah then what is the reason we have more deaths than any other country because our coronavirus president is the worst leader in the world coronavirususa presidentliesall","Positif"
"369",1,"read cbd on steroids  from    covid coronavirusus cdc covid coronavirusnewyork coronavirusseattle covidaustralia coronavirususa fo coronavirusoutbreak coronavirusnederland coronavirusgermany covidcanada","Positif"
"370",1,"how to  make pizza like a neapolitan master  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Positif"
"371",-3,"also the  has put together a resource page for artists to use with links to relief funds information for regional support faqs about freelancer insurance healthcare programs for artists etc     covid coronavirususa arts","Negatif"
"372",2,"time to get back to work coronavirususa fauci   americaworkstogether trump trumppencelandslidevictory ","Positif"
"373",4,"sorry but the fact is what you sow is what you reap    us government gave million grant to wuhan lab at center of coronavirus leak scrutiny that was performing e on bats from the caves where the disease is believed to have originated  coronavirususa","Positif"
"374",0,"pretty sobering i can remember when americans were demonstrating to save us citizens  now demonstrating for potentially the opposite what a world you could not write this script coronavirususa covid coviduk","Netral"
"375",-1,"we talk live with the deputy sec of  at am   coronavirususa","Negatif"
"376",2,"wife did i get fat during quarantine  husband you were never really skinny   timeofdeath   pm cause of death coronavirus   coronavirususa covid coronavirusoutbreak","Positif"
"377",0,"ut chemists book has  e for houseboundkids  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation stem","Netral"
"378",0,"let start counting when trump shares an actual factual fact about coronavirususa a lot easier than factchecking the fake ","Netral"
"379",0,"coronavirususa while desantis spoke in washington there was grim news back home reported its deadliest day  success must mean something real different to republicans","Netral"
"380",1,"be bold and beautiful with our facemasks facemasks coronavirususa","Positif"
"381",0,"what  do kids bankers and worldleaders have in common  psychologytoday  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Netral"
"382",3,"remember too big to fail  third major transfer from the middle class to the wealthy courtesy of the   when did cruise operators become essential to the economy   usa coronavirususa","Positif"
"383",1,"rarely seen elvis presley photos convid coronavirususa  from hillbilly concert  las vegas   via","Positif"
"384",0,"love this pr move to the max newmusic music coronavirususa newsalert covid","Netral"
"385",1,"une why some kids are happier right now and other une effects of quarantine  cnn  via  prek homeschool socialdistancing  health   mom dad homebound nj literacy   coronavirususa  masks wednesdaymotivtion","Positif"
"386",-2,"not interested in anything with the idiots signature before you say im ungrateful congress sent check and i donated my check to suffering restaurant folk covid coronavirususa","Negatif"
"387",0,"dopest video on hand washing by doug e fresh    heres one with    amp    dancing by         covid coronawillendsoon coronaviruspandemic coronavirususa","Netral"
"388",-2,"with millions unable to pay for housing ne month organizers plan the largest rent strike in nearly a century   coronavirususa","Negatif"
"389",1,"they specifically ask if hes spoken to the families of deceased covid victims amp he talks about his friends covid coronavirususa trump donaldtrump trumppressbriefing trumppressconference trumppressconf covidiot covidus maga trumpvirus coronavirus potus","Positif"
"390",-2,"in   passed tax law benefiting fortune companies b in income ta wouldve helped fund coronavirususa relief bill now some companies are receiving aid amp letting go workers ta november covid","Negatif"
"391",2,"keeping our socialdistance will present new challenges as employers try to ensure workplaces are clean and staff healthy covid coronavirususa inittogether","Positif"
"392",1,"the government should paid essential workers a weekly stimulus as well zero e pay here but at work everyday  stimuluspayment coronavirususa","Positif"
"393",2,"would you be comfortable sending your kids grandbabies back to school  coronavirususa","Positif"
"394",0,"your occasional reminder that g k chesterton was right about our present pickle whatever that pickle may be at the moment coronavirususa covid","Netral"
"395",-1,"encouraging data and more encouraging someone taking an intelligent scientific approach and getting an accurate actionable look at our progress against the virus covid coronavirususa the mercury news article","Negatif"
"396",1,"reopen chattanooga tennesse let your voice be heard hamiltoncounty wwgwga thegreatawakening thestorm trump walkaway covid coronavirususa corona coronashutdown patriots anons fightback freedom ds fakenews enemyofthepeople q qanon southernpride tn","Positif"
"397",1,"is anyone else concerned that the savior emerging out of coronavirususa is a company called gilead","Positif"
"398",-3,"update coronavirususa  drop in first quarter  sharpest quarterly drop in  years since the  financial crisis","Negatif"
"399",0,"we are documenting our journey  travelers  rvlife  quarantinelife  coronavirususa","Netral"
"400",0,"as of april   the official trumpbodycount from the trumpvirus is up to  americans  due to  intentional lack of testing the estimates of actual coronavirus deaths are x to x the official count  coronavirususa maga kag maga kag","Netral"
"401",-1," united states has established a number of biological laboratories in former soviet union countries but has kept quiet about their functions uses and safety factors covid coronavirususa","Negatif"
"402",1,"on instagram  is coming coronavirususa coronavirusspreading animalmasskilling animalcruelty famine","Positif"
"403",1,"over a million cases and you whining about the press  coronavirususa","Positif"
"404",0,"the lockdown doesn actually protect anyone because they still buying products from stores effectively the quarantine doesn e covid coronavirususa quarantinelife","Netral"
"405",0,"take a few minutes to review these guidelines from  cybersecurity stem coronavirususa","Netral"
"406",0,"si thousand is the natural number that comes after  and before  covid coronavirususa trump donaldtrump trumppressbriefing trumppressconference trumppressconf covidiot covidus maga trumpvirus coronavirus covidusa potus","Netral"
"407",-2,"these are bulkprepped recipes maybe these will come in handy at this time for you and your family this youtube channel has many recipes they all look delicious blacktwitter blackpeople blackwomen  corona coronavirus coronavirususa pandemic","Negatif"
"408",-1,"praying for roy vegas coronavirususa                       roy horn of siegfried and roy fame tests positive for coronavirus","Negatif"
"409",3,"white working class denialism is deadly don think for one second you won be ne capitalismkills coronavirususa","Positif"
"410",1,"this is what herd immunity looks like below is a graph showing  of new cases in sweden which didnt lock down this is the strategy trump wants to implement over coming weeks covid coronavirususa donaldtrump covidiot covidus maga trumpvirus covidusa potus","Positif"
"411",1,"madness  spraying a spanish beach eith bleach   people will be drinking it ne  coronavirusuk coronavirusespa coronavirususa","Positif"
"412",-3,"nearly  dead in horrific outbreak at veterans home coronavirususa","Negatif"
