"","score","text","klasifikasi"
"247",0,"this mornings workoutfollowing the mantra of  and  xexxa stayhome stayathomeandstaysafe stayhealthy staypositive stayfit coronavirususa coronavirusmassachusetts with     on bluetooth","Netral"
"248",0,"rate of coronavirus covid tests coronavirusnl  corona coronavirususa coronavirusupdate coronavirustesting civid","Netral"
"249",-1,"lysol ad in context with trump recommendation corona stayathomeandstaysafe usa newyork coronavirususa","Negatif"
"250",0,"pokers vs antipokers  building the bridge of reason  rex reviews  via  fair points on both sides vaxxers vs antivaxxers coronavirususa covid healthcare personalchoice","Netral"
"251",1,"those who expect to reap the blessings of freedom must like men undergo the fatigues of supporting it  thomas paine  wwggwa iamfreedom q qanon greatawakening digitalsoldier qanon darktolight qarmy constitutionovercoronavirus covid coronavirususa","Positif"
"252",2,"ok i have an idea how about we take huge screens to the people protesting and while they protest we set up videos giving them history and facts hopefully not all of them are lost yet and we can plant the seed of knowledge  coronavirus coronavirususa","Positif"
"253",0,"coronavirususa woman whoxexxs husband died after taking fish tank cleaner is now being investigated for murder","Netral"
"254",3,"presidential in coronavirususa xexx xexxctough is smart disciplined unified and loving xexx xexx thatxexxs who we are because of our values respect dignity mutuality love for  another and willing to sacrificexexxd  thank you take lesson","Positif"
"255",-1,"scary news happening in new york  coronakuchers covidnl covidbe coronavirusoutbreak  coronavirus covid  coronavirusupdates coronavirususa  coronavirusuk  coronaupdate  coronalockdown  stayathomeandstaysafe  covid  covidusa","Negatif"
"256",-2,"blind leading the blind  nurses nursesareheroes essentialworkers covid covidxexxbc extendthelockdown coronavirususa coronavirustruth coronavirus corona covidiots reopenamerica stayathomeandstaysafe stayhomesavelives stayhome trending trumpisnotadoctor","Negatif"
"257",-2,"so true yet theyll find a reason not to do rnlife firstresponders healthcareheroes coronavirususa xfxfxaxaxfxfxxbaxfxfxxb","Negatif"
"258",-3,"but scream democrats trump is racist and xenophobic for chinese coronavirususa travel restrictionsand in same breath scream democrats trump didnt do anything","Negatif"
"259",1,"i hate to break it to trump and the covidiots but an executive order doesnt keep workers safe from the virus or make the virus vanish basically a death sentence for meat packing plant workers  id quit  coronavirususa foodshortage","Positif"
"260",0,"i hope people across the usa but especially living in these areas pay close attention to their own personal social distancing measures covid hasnxexxt gone anywhere this pandemic certainly isnxexxt even close to being over current numbers coronavirus coronavirususa","Netral"
"261",-1,"giveawayxfxfxex winnersxfxfxxbaxfxfxxbus only  retweet amp follow xfxfxxa  amp  youll win surgical masksxfxfxxb  ends in  days  pm rd may  wednesdaywisdom wednesdaymorning coronavirus covid coronavirusuk covidsafe covidiots trump corona coronavirususa","Negatif"
"262",0,"stupid customer coming into to my workplace without a mask  get the fuck out you cunt covid coronavirususa","Netral"
"263",0,"the coronavirus and birth rates what experts say about a onceinacentury situation via indystar     obgyn covid covidpandemic coronaviruslockdown coronaravirus coronavirususa covidvirus","Netral"
"264",3,"go ahead and continue to gather  all that want to gather in large groups  go ahead  less idiots to deal with  going forward xfxfxaxe covid coronavirus coronavirususa","Positif"
"265",0,"state attorney general calls mayors actions unconstitutional  via  plandemic constitutionalcrisis coronavirususa covid usa","Netral"
"266",5,"this is the truth itxexxs past time to allow healthy people to resume normal activities amp to reopen the economy itxexxs time to make a hard push now for healthy people to return to work amp to get back to normal trumpeconomy coronawillendsoon coronavirususa","Positif"
"267",2,"well ppp for our tiny business is happening thanks to the great assistance provided by our terrific  branch manager wouldnxexxt have happened without her help coronavirususa","Positif"
"268",0,"germanyxexxs cases on the rise after loosening restrictions america will soon follow cuz god forbid we wait another couple of weeks covid coronavirus coronavirususa","Netral"
"269",0,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf    coronavirus  covid  coronavirususa  pandemic","Netral"
"270",1,"ok maybe just one more covidiots coronavirus coronavirususa trumpisanidiot trumpdisinfectant trumpisnotadoctor trump firefauci covid iamfreedom trumppressconference","Positif"
"271",2,"well looks like the  trump welfare check with your name on it is wearing off mr president  maga trump coronavirususa trumpignoredhisownintelligence trumpwelfarecheck trumpstockmarketcrash    but god  chose the foolish things of the world to shame the wise","Positif"
"272",0,"a doctor treating a newyorker committed suicide do you know the fact coronavirususa coronavirus newyork newyorkcoronavirus newyorktimes pandemic covidxexxbc medical retweeetplease nypd","Netral"
"273",0,"coronavirus coronavirususa unitedstates of america  mayor nycmayor billdeblasio needs to be removed from office","Netral"
"274",1,"black womens health care in the united states has always been subpar she is gone before her time coronavirususa","Positif"
"275",2,"studies on widespread testing find the really low actual corona death rates denmark  scotland  nederland  los angeles   this is getting ridiculous reopen the economy  reopenamerica coronavirususa","Positif"
"276",0,"youtube takes down videos of doctors who question corona lockdown approach in light of very low death rates  in various studies  what gives them the right to shut down our rights to ask questions  bigtechcensorship coronavirus coronavirususa","Netral"
"277",-1,"covidxexxbc if trump wonxexxt lead the world others must    coronavirus is a global emergency governments must ally against this pandemic  michael r bloomberg opines in a sharp essay     us coronavirususa","Negatif"
"278",5,"how to keep makeup and tools clean amid the pandemic   life live beauty health fitness usa jobs free makeup family leadership success science covid model girl coronavirususa home wednesdaywisdom wednesdaythoughts wednesdaymotivation","Positif"
"279",-2,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf  germany braces for worst recession in postwar history    coronavirus  covid  coronavirususa  pandemic","Negatif"
"280",0,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf  tip of the iceberg economy shrinks at  pace but worst is yet to come   coronavirus  covid  coronavirususa  pandemic","Netral"
"281",1,"thank you so much hasidic for spreading death amp disease  jews jewish coronavirususa coronavirusnewyork","Positif"
"282",0,"whine and cheese and the corona virus with sheila wilson and elizabeth dalton nurses coronavirususa trauma abuse","Netral"
"283",-2,"in order to aid humanity in recognising lord rariaz gohar shahi and lord jesus christ god has manifested their images in various places all over the cosmos coronavirususa coronavirus covidxexxbc oil moon peace","Negatif"
"284",1,"coronavirus usa italy covidxexxbcxcxa coronaviruspandemic togetherathome covidxcxa  coronavirususa  xcxa lovexcxa jesus stayhomexcxa newyorkersxcxa  trumpxcxa covidxcxa corona spanien stayhomestaysafexcxa coronaupdate  xcxathe best stories","Positif"
"285",2,"this is insane as one union president said we only wish that this administration cared as much about the lives of working people as it does about meat pork and poultry products wednesdaymorning coronavirususa covidiot","Positif"
"286",0,"the number of people around the world confirmed to have the coronavirus has been increasing to more than three million and one third in the us xfxfxaxa  its too easy to see where the infection began in  covid covid coviditalia coronavirususa coronaviruschina xfxfxxb","Netral"
"287",-2,"oxford vaccine may be ready by september may be the way out of this  coronavirususa covid  stayhomesavelives","Negatif"
"288",-1,"according to  data  of the coronavirususa hot spots highest cases per resident today are counties in georgia thatxexxs right next door to us you werenxexxt ready to openup","Negatif"
"289",0,"gilead unfurls positive data on coronavirus drug ahead of researchers    remdesevir gilead covid covid coronavirus coronavirususa polqc coronaviruscanada covidqc covidcanada covidusa","Netral"
"290",2,"testing testing amp more testing for so many reasons  to know extent of spread  to quarantine  to understand how it works  for science  this is a good article everyone should read xfxfxxxfxfxfxbb  covid covid  coronavirususa coviddeathcounts","Positif"
"291",0,"highest one day spike as desantis at white house trump kind of record floridacoronovirus coronavirususa florida reports jump in deaths as nation reports more than  million cases of coronavirus","Netral"
"292",0,"trumplegacy coronavirususa  confirmed cases  deaths  and rising","Netral"
"293",4,"christmas is no thanksgiving is no laborday is no you need to let it go you need to let it go need to letitgo coronaviruslockdown coronavirususa coronavirusnyc canceleverything","Positif"
"294",0,"neither rush to reopen nor defeatist idiocy that xexxcwe may never return to normalxexxd reject both us needs allout effort to develop drug treatment and vaccine as speedily and safely as possible therexexxs no acceptable alternative failure isnxexxt an option coronavirususa pandemic","Netral"
"295",1,"do you agree with president trump on this point re coronavirususa cases  covid covidusa trump","Positif"
"296",3,"all quants had to do is which word ticks the ticker on any given day coronavirususa newyork cuomo bernie oil remdesivir etc from there all you need is wh access and media voila ath","Positif"
"297",5,"it really disgusts me how ppl can only talk about going to the stores to spend money when the covid restrictions lift xfxfxaxae overconsumption and unnecessary consumption is a huge problem so donxexxt tell me your broke again be a smart consumer coronavirususa","Positif"
"298",-3,"just to be precise the annualized drop in q us gdp was  percent  closer to  than the  reported in the  release  and yes as i just tweeted much worse to come for the next  quarters  economy ccpvirus wuhanvirus coronavirususa covid thankschina","Negatif"
"299",1,"first known us coronavirus victim suffered burst heart pathologist  covid sarscov coronavirususa cardiovascular pathology","Positif"
"300",0,"need to check your facts   trumpvirus coronavirususa maga maga","Netral"
"301",-2,"us protest ringleaders arrested in nc after clashing with healthcare workers while daily detected cases in nc are still increasing   via  covid covid coronavirususa covid covidxexxbc","Negatif"
"302",2,"earlier jets from the us navyxexxs  and the air forcexexxs  flew over new york city to pay tribute to health workers fighting the coronavirus pandemic coronavirususa","Positif"
"303",2,"xexdxaxefxbxfxfxfxaxdxfxfxx i donxexxt have a daily alarm set for xexxs daily coronavirususa briefings you do xexfxbxfxfxxxfxfxxxfxfxxcxfxfxxbaxfxfxxb seriously xexx huge thank you and big hugs to cuomo and his staff right now","Positif"
"304",1,"this is is the right bill  to help small businessesnot huge corporations covidxexxbc coronavirususa votebymail usps","Positif"
"305",2,"this rhetorical propaganda is not gonna fly in the face coronavirususa  k ppl are dead just saying it doesnxexxt make it so and this isnxexxt an ideology problem itxexxs a scientific medical issue and only the scientific truth matters and prevails coronavirusliar","Positif"
"306",-1,"i strongly recommend that you follow him for solid information on the virus in a sea of political misinformation covid pandemic lockdown foodsupply coronavirususa","Negatif"
"307",-1,"hasidim should stop placing the race card they were the ones on the streets they obey no one   oh but u did tolerate it no one got arrested coronavirususa shea","Negatif"
"308",-1,"perspectives on the pandemic  professor knut wittkowski update interview  episode     covid  coronavirususa  coronavirus pandemic fear","Negatif"
"309",1,"so is my cat just supposed to use a childsized surgical mask whats gonna happen to her street cred when everyone sees those  characters no absolutely not this is gonna go over about as well as harness training her coronavirususa catsofthequarantine","Positif"
"310",0,"billgates  april  be ready for pandemic   xcexbaxcexbfxcfxxcfxxcexbdxcexbfxcexbxcexbfxcfx xcexbaxcexbfxcfxxcexbfxcexbdxcexbfxcfxaxcexbfxcfx xcexbcxcexbxcexbdxcexbfxcfxxcexbcxcexbxcfxxcfxxcexafxcfxxcexb xcexbaxcexbxcfxxcexbxcexbdxcfxxcexbxcexbdxcexb coronavirus covid coronaviruspandemic covidxexxbc covid vaccination pandemic coronavirususa stayathome nwo health pandemia populationreduction","Netral"
"311",1,"us economy shrank  last quarter as virus struck but dija up gt cause us is has a socialist system for corporations who are expecting more govt cash    via  covid covidxexxbc coronavirususa coronavirus covid","Positif"
"312",-2,"xfxfxxafxefxbxf xexxctheyre truly alone and thats the most heartbreaking  around  residents died from coronavirus at  veteransxexx home in massachusetts coronavirususa covid","Negatif"
"313",1,"this is what my day is like what is your day like homealonetogether homealone lockeddown alonetogether coronavirususa babyboy babysitter","Positif"
"314",-1,"things to do during the quarantine to beat boredom  quarantine quarantinelife pandemic coronaviruspandemic coronavirususa npr huffpost nbcnews nytimes cbsnews wsj quarantineradio thingstodoinlockdown boredathome boredquarantine","Negatif"
"315",1,"ts of covid impact on healthconsumers telehealth trauma amp trust via   coronavirususa pandemic reshaping our healthcare behaviors due to healthcosts access amp risk mgt w gtvirtual care search for bioethics amp mentalhealth","Positif"
"316",4,"proud usa t shirt love it order now       doctor doctors doctorwho doctorlife housedoctor  doctordoctor doctores doctora doctorstranger hasidic love coronavirususa doctorslife doctorate penceisanidiot extendthelockdown kids covid","Positif"
"317",0,"coronavirususa cases  deaths    vietnam conflict extract file record counts by casualty category total    southkorea cases  deaths   canada cases  deaths","Netral"
"318",1,"if  has such a good relationship with the hasidic jews then why arenxexxt the hasidic following n obeying socialdistancing coronavirususa no arrests i wonder why","Positif"
"319",-2,"i have not left home since march th going crazy but thats better than dying coronavirususa trumpvirus","Negatif"
"320",2,"trump americafirst thank you donald trump  youre the greatest coronavirususa","Positif"
"321",-1,"this is a picture of the hasidic community at a funeral gathering in williamsburg newyork  shocking    they are not only putting their own lives at risk but also the lives of the medical community and their families wake up people   coronavirususa is deadlyxfxfxxa","Negatif"
"322",0,"i am watching man vs food and i realized thatxexxs every day here with no cheering coronavirususa manvsfood","Netral"
"323",0,"funny coronavirusxcxavideos on tik tok  funny covid  compilation  tiktok coronavirus corona funny covid comedy lol lmao coronavirususa itsgettingreal medicalsupplies quarantinecruise sanitizer","Netral"
"324",0,"we are all doomed wuhan china today  april th   coronaviruspandemic coronaviruschina covid covidxexxbc coronavirususa wuhan","Netral"
"325",1,"therexexxs a huge difference between a treatment and a vaccine oh well coronavirususa","Positif"
"326",2,"s gangsters bootlegged alcohol so that america could party every night away s  companies use alcohol to make disinfectants so people can leave their homes without worrying about dying winning coronavirususa","Positif"
"327",1,"now its up to us  help by boycotting meat at least until the pandemic is over whats more important a pork chop or the lives of your neighbors   covid coronavirususa immigrants boycott boycottmeat govegansaveworkers","Positif"
"328",0,"are you trolling  for being a douchebag covid coronavirususa wearamask dontbeanidiotlikemikepence","Netral"
"329",0,"california adopts eviction moratorium due to coronavirususa vogt resnick sherak us member firm takes a look at what the order means","Netral"
"330",-1,"coronavirususa coronavirus covid covid covidxexxbc covid lockdown quarantine breaking cure   holy crap  sounds like there might be an actual cure crosses fingers","Negatif"
"331",4,"this mas is an idiotand he doesnxexxt believe in science but the scariest part is that he is the vp of the usa mikepence pence badexample coronavirususa coronaviruspandemic covid","Positif"
"332",-2,"xfxfxxafxefxbxf xexxctheyre truly alone and thats the most heartbreaking  around  residents died from coronavirus at  veteransxexx home in massachusetts coronavirususa covid","Negatif"
"333",1,"i just received my next fire pit starter coronavirususa","Positif"
"334",0,"covidxexxbc deaths per million  coronavirus statistics popgtm   covidupdates coronavirus coronavirususa belgium italycoronavirus france ukcoronavirus netherlands switzerland sweden covid spaincoronavirus germany corona","Netral"
"335",1,"are you committed to your families health just a few hours left to sign up pm mtn today healthy coronavirususa covid covidoutbreak healthylifestyle wellbeingwednesday wellness","Positif"
"336",4,"can you put a price on human life  well i know my funeral would cost less than hospitalization and treatment for covid   coronavirus coronavirususa","Positif"
"337",0,"get amazing kindle ebook from amazon   parents and children how to raise successful children a kindle ebook by louis de santis author  for details please click    socialdistancing health dad homebound nj literacy games story coronavirususa","Netral"
"338",1,"how will she make it worse today ixexxm guessing mandatory meat packing for seniors or childrenxexxs casinos iowa covid coronavirususa coronavirusiowa  worstgovernor","Positif"
"339",5,"pence explainsusing mayoclinic photoswhat white privilege really is mike looks you in the eye when he commits negligent homicide tho in charge of coronavirususa he doesnt understand masks protect others and mayo lets him do it knowing any illness can kill the weak","Positif"
"340",0,"absolutely chilling comments from an avowed communist  its incredible that this is happening in the united states of america  coronavirususa deblasioresign","Netral"
"341",0,"we will all be wearing hijab now  coronavirususa covid covid lockdownend pandemic","Netral"
"342",1,"during lockdown how a  year old grandmother used a breakthrough  step formula to pocket commissions from the internet her first week  click here   covidoutbreak  coronavirususa  covid quarantinetime","Positif"
"343",-1,"lies again fakepresident trumpliesamericansdie coronavirusliar coronavirususa dontdrinkbleach","Negatif"
"344",0,"coronavirususa coronavirus covid covid covidxexxbc covid lockdown quarantine breaking cure   holy crap","Netral"
"345",4,"oh dear oh dear  i suppose all these idiots were being sarcastic about the coronavirus and how it was insignificant and just a bout of flu   coronavirususa coronaviruslockdownuk","Positif"
"346",-1,"all the data on the coronavirus in one video cases deaths per  million inhabitants and tests per  inhabitants   watch the video here   what do you think  covid covidiots coronavirusfrance coronavirususa coronavirusitalia","Negatif"
"347",3,"nuanced thoughts on balancing health and economy during the pandemic now that we know a little more about it coronavirususa endlockdown covid","Positif"
"348",6,"another trump distraction investigate others to take the light off him and his ignoring all the briefings and info he received months before we got hit so hard he was too busy golfing and spending our money flying to rallies coronavirususa","Positif"
"349",1,"politiciansdeliberately upsetting their aviation masters and making orders for actual health and safety dont be kraykray  global toxic pollutor and too big to fail screaming jet airswines have made themselves politically indispensable aviation coronavirususa","Positif"
"350",2,"thatxexxs about it well said    coronavirususa covid","Positif"
"351",0,"great time  tv discussing coronavirususa response white house press briefings amp billdeblasioxexxs miserable plan to not tell nyxexxers his reopenny blueprint until june st","Netral"
"352",-1,"donates jet fuel to  and  for coronavirus relief efforts via   oott oilandgas bp coronavirususa","Negatif"
"353",-1,"half a million to die from mismanagement of  and his handling of coronavirususa","Negatif"
"354",-1,"coronavirususa the outcry to fully open the beaches is so that many can add some color to their skin  not everyone can afford tanning bed like except ppl of color do not need one they need everything else equality  on every level","Negatif"
"355",1,"you ever admit one just one false statement impossible  trumpliesamericansdie trump covid coronavirususa","Positif"
"356",5,"it took me some time to find my words sometimes writers have a hard time expressing themselves   was kind enough to read it for me   stopthespread amwriting seattle corona coronavirususa","Positif"
"357",-3,"covid  covidxexxbc  wednesdaymotivation   its not just the flu coronavirususa has already killed more americans in four months than the flu does in a year dont be an idiot like trump  stayhomesavelives","Negatif"
"358",2,"whether itxexxs requiring meat packing plants to stay open ordering military jets to fly over cities predictably drawing crowds to acts of omission failing to adequately test supply ppe etc everything trumpxexxs doing is making the outbreak worse coronavirususa","Positif"
"359",2,"well this is not surprising based on who we are dealing with and i can safely sayits all kinds of fucked up coronavirususa","Positif"
"360",0,"well look at this quarantine coronavirususa ds chinesecoronavirus faucithefraud covid","Netral"
"361",0,"coronavirus  where do we go from here  coronavirususa opinion poll","Netral"
"362",-1,"disneyland and other california theme parks canxexxt reopen for months under states plan  via  disney     covid coronavirususa coronavirus gavinnewsom california stayhome stayhomesavelives","Negatif"
"363",0,"oh and restaurantxexxs have circulated air sooo coronavirususa","Netral"
"364",2,"if your source is  foxnews  slickthen what ya got there is nothing  youxexxre still a failure in the coronavirususa  pandemic stop trying to cover up your failure with this pettiness  you dug your own grave  nice","Positif"
"365",0,"most democratsaredestroyingamerica democratshateamerica democratsareadisgrace covid coronavirususa coronavirus","Netral"
"366",2,"pushing kids  along is prudent but problematic  the atlantic  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Positif"
"367",2,"the coronavirususa has taught me that each of us have an important roll to play the question is are you playing your roll we are a team","Positif"
"368",1,"oh yeah then what is the reason we have more deaths than any other country because our coronavirus president is the worst leader in the world coronavirususa presidentliesall","Positif"
"369",1,"read cbd on steroids  from    covid coronavirusus cdc covid coronavirusnewyork coronavirusseattle covidaustralia coronavirususa foxnews coronavirusoutbreak coronavirusnederland coronavirusgermany covidcanada","Positif"
"370",1,"how to  make pizza like a neapolitan master  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Positif"
"371",-3,"also the  has put together a resource page for artists to use with links to relief funds information for regional support faqs about freelancer insurance healthcare programs for artists etc     covid coronavirususa arts","Negatif"
"372",2,"time to get back to work coronavirususa fauci   americaworkstogether trump trumppencelandslidevictory xfxfxxbaxfxfxxb","Positif"
"373",4,"sorry but the fact is what you sow is what you reap    us government gave million grant to wuhan lab at center of coronavirus leak scrutiny that was performing experiments on bats from the caves where the disease is believed to have originated  coronavirususa","Positif"
"374",0,"pretty sobering i can remember when americans were demonstrating to save us citizens  now demonstrating for potentially the opposite what a world you could not write this script coronavirususa covid coviduk","Netral"
"375",-1,"we talk live with the deputy sec of  at am   coronavirususa","Negatif"
"376",2,"wife did i get fat during quarantine  husband you were never really skinny   timeofdeath   pm cause of death coronavirus   coronavirususa covidxexxbc coronavirusoutbreak","Positif"
"377",0,"ut chemists book has  experiments for houseboundkids  via  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation stem","Netral"
"378",0,"letxexxs start counting when trump shares an actual factual fact about coronavirususa a lot easier than factchecking the fake xexxcfactsxexxd","Netral"
"379",0,"coronavirususa while desantis spoke in washington there was grim news back homexcxaflorida reported its deadliest day  success must mean something real different to republicans","Netral"
"380",1,"be bold and beautiful with our facemasks facemasks coronavirususa","Positif"
"381",0,"what  do kids bankers and worldleaders have in common  psychologytoday  prek homeschool socialdistancing  health  kids mom dad homebound nj literacy games story  coronavirususa  masks alphabet uk wednesdaymotivation","Netral"
"382",3,"remember too big to fail  third major transfer from the middle class to the wealthy courtesy of the   when did cruise operators become essential to the economy   usa coronavirususa","Positif"
"383",1,"rarely seen elvis presley photos convid coronavirususa  from hillbilly concert  las vegas   via","Positif"
"384",0,"love this pr move to the max newmusic music coronavirususa newsalert covid","Netral"
"385",1,"unexpected why some kids are happier right now and other unexpected effects of quarantine  cnn  via  prek homeschool socialdistancing  health   mom dad homebound nj literacy   coronavirususa  masks wednesdaymotivtion","Positif"
"386",-2,"not interested in anything with the idiots signature before you say im ungrateful congress sent check and i donated my check to suffering restaurant folk covid coronavirususa","Negatif"
"387",0,"dopest video on hand washing by doug e fresh    heres one with    amp    dancing by         covid coronawillendsoon coronaviruspandemic coronavirususa","Netral"
"388",-2,"with millions unable to pay for housing next month organizers plan the largest rent strike in nearly a century   coronavirususa","Negatif"
"389",1,"they specifically ask if hes spoken to the families of deceased covid victims amp he talks about his friends covid coronavirususa trump donaldtrump trumppressbriefing trumppressconference trumppressconf covidiot covidus maga trumpvirus coronavirus potus","Positif"
"390",-2,"in   passed tax law benefiting fortune companies b in income taxes wouldve helped fund coronavirususa relief bill now some companies are receiving aid amp letting go workers taxtherich november covid","Negatif"
"391",2,"keeping our socialdistance will present new challenges as employers try to ensure workplaces are clean and staff healthy covid coronavirususa inittogether","Positif"
"392",1,"the government shouldxexxve paid essential workers a weekly stimulus as well zero extra pay here but at work everyday xfxfxaxbxfxfxfxbxexxdxexxxefxbxf stimuluspayment coronavirususa","Positif"
"393",2,"would you be comfortable sending your kids grandbabies back to school  coronavirususa","Positif"
"394",0,"your occasional reminder that g k chesterton was right about our present pickle whatever that pickle may be at the moment coronavirususa covid","Netral"
"395",-1,"encouraging data and more encouraging someone taking an intelligent scientific approach and getting an accurate actionable look at our progress against the virus covid coronavirususa the mercury news article","Negatif"
"396",1,"reopen chattanooga tennesse let your voice be heard hamiltoncounty wwgwga thegreatawakening thestorm trump walkaway covid coronavirususa corona coronashutdown patriots anons fightback freedom ds fakenews enemyofthepeople q qanon southernpride tn","Positif"
"397",1,"is anyone else concerned that the savior emerging out of coronavirususa is a company called gilead","Positif"
"398",-3,"update coronavirususa  drop in first quarter  sharpest quarterly drop in  years since the  financial crisis","Negatif"
"399",0,"we are documenting our journey  travelers  rvlife  quarantinelife  coronavirususa","Netral"
"400",0,"as of april   the official trumpbodycount from the trumpvirus is up to  americans  due to xexxs intentional lack of testing the estimates of actual coronavirus deaths are x to x the official count  coronavirususa maga kag maga kag","Netral"
"401",-1,"xexxcthe united states has established a number of biological laboratories in former soviet union countries but has kept quiet about their functions uses and safety factorsxexxd covid coronavirususa","Negatif"
"402",1,"on instagram xexxcfamine is comingxexxd coronavirususa coronavirusspreading animalmasskilling animalcruelty famine","Positif"
"403",0,"over a million cases and youxexxre whining about the press xfxfxx coronavirususa","Netral"
"404",0,"the lockdown doesnxexxt actually protect anyone because theyxexxre still buying products from stores effectively the quarantine doesnxexxt exist covid coronavirususa quarantinelife","Netral"
"405",0,"take a few minutes to review these guidelines from  cybersecurity stem coronavirususa","Netral"
"406",0,"sixty thousand is the natural number that comes after  and before  covid coronavirususa trump donaldtrump trumppressbriefing trumppressconference trumppressconf covidiot covidus maga trumpvirus coronavirus covidusa potus","Netral"
"407",-2,"these are bulkprepped recipes maybe these will come in handy at this time for you and your family this youtube channel has many recipes they all look delicious blacktwitter blackpeople blackwomen  corona coronavirus coronavirususa pandemic","Negatif"
"408",-1,"praying for roy vegas coronavirususa                       roy horn of siegfried and roy fame tests positive for coronavirus","Negatif"
"409",2,"white working class denialism is deadly donxexxt think for one second you wonxexxt be next capitalismkills coronavirususa","Positif"
"410",1,"this is what herd immunity looks like below is a graph showing  of new cases in sweden which didnt lock down this is the strategy trump wants to implement over coming weeks covid coronavirususa donaldtrump covidiot covidus maga trumpvirus covidusa potus","Positif"
"411",1,"madness  spraying a spanish beach eith bleach   people will be drinking it next  coronavirusuk coronavirusespaxcxba coronavirususa","Positif"
"412",-3,"nearly  dead in horrific outbreak at veterans home coronavirususa","Negatif"
"413",1,"trumpliableforlies during coronavirususa his actions are inexcusable and americans deserve a president who takes their lives seriously  locktrumpup votetrumpout cloroxcure is enough evidence  moveon","Positif"
"414",-2,"quick action that was incomplete and then no action for two months coronavirususa trumpliespeopledie","Negatif"
"415",0,"as recycling companies keep employees healthy some are donating supplies to ensure healthcareheroes are protected too coronavirususa covid newyork    recycle","Netral"
"416",0,"jet blue requiring all passengers to wear face masks   starting  may  coronavirususa  jetblue  sandartta  travel  travel","Netral"
"417",5,"and when you want something all the universe conspires in helping you to achieve it paulocoelho allthepresidentsmen coronavirususa ppe crimesagainsthumanity truth justice ruleoflaw humanrights equality fairhousing education cleanairwater aca trumpstaxes greedgop","Positif"
"418",-3,"realizing a new reality for your business there will not be a xexxcnew normalxexxd on the other side of the covid crisis well engage in a xexxcnew realityxexxd that will not resemble what we knew to be normal ceo coronavirususa","Negatif"
"419",-2,"sure makes sense furlough workers at companies that are needed for covid  testing during a coronavirususa pandemic but also look to get federal money for the company sounds familiar","Negatif"
"420",-1,"covid surpasses the vietnam war   follow for more cartoons  covid covid coronavirususa coronavirusoutbreak deaths vietnam stayhome coviddeaths usa comics webcomic webcomics","Negatif"
"421",1,"if by accident he reaches the wh which unfortunately could happen because of covid coronavirususa  this would be the new negotiation style with president poutine and president xi xfxfxaxaxfxfxx","Positif"
"422",3,"there is a godwho has a wonderful sense of humour perfect staythefuckathome washyourhands covid coronavirususa coronaviruscanada","Positif"
"423",-1,"our story with covid positive igg in ga      the numbers just arent accurate coronavirususa","Negatif"
"424",0,"note to coronavirususa   please xexxctune inxexxd to trump","Netral"
"425",-1,"after hundreds of patients in somerville covid clinic a turning point comes clear  via   geteducated coronavirususa","Negatif"
"426",0,"great  encouraging businesses to open friday  whether or not  lifts restrictions on nonessential businesses  please somebody stop this  coronavirususa covidiots arizona","Netral"
"427",2,"what is a mask valve and why are cities banning them coronavirususa","Positif"
"428",0,"my conclusion  humans are stupid coronavirususa stayathome","Netral"
"429",5,"the economy contracted the most it has since the great recession in the first quarter heres what were doing to try to correct the coronavirususa dip  moneymoves with  and more on the insight podcast","Positif"
"430",1,"covid coronavirususa  boeing failures have nothing to do with covid they have nothing to deliver the max is a failure","Positif"
"431",1,"thank you  for publishing this article on event planning during the covid crisis  covid coronavirususa staysafe eventplanner events","Positif"
"432",0,"bovada sims today gt  sports simulation betting guide gt  nfl sims coronavirususa","Netral"
"433",-1,"so much for that flawed va study pushed by cnn and the rest of the fakenewsmedia to attack hydroxychloroquine  accordingly to this analysis the drug has a  efficacy rate for coronavirus patients based on studies to date   coronavirususa kag twgrp","Negatif"
"434",-1,"xexxctherexexxs never been anything like thisxexxaxexxd does  not know about the spanish flu pandemic it killed  americans  years ago covid coronavirususa","Negatif"
"435",0,"all are welcome to attend our virtual mass this morning as we honor the science medical amp first responder communities for their contributions to the fight against covid coronavirususa tenuinecdimittam","Netral"
"436",1,"so some people are staying this was staged and these are actors pence coronavirususa covid","Positif"
"437",-6,"his contempt and sheer disregard for other human beingsxexx lives is on full display for all to see xexxs actions sum up the trump admin lack of concern about americansxexx lives they just donxexxt care in the slightest if we die  covid coronavirususa","Negatif"
